OBJECTID *,SHAPE *,X,Y,Direction,Speed
9,Point Z,274095.4284,4684114.677,160,3.5
10,Point Z,274130.6196,4684130.613,180,4
11,Point Z,274158.507,4684097.414,200,4.5
12,Point Z,274221.5855,4684121.317,160,6
13,Point Z,274258.7686,4684148.541,180,5
14,Point Z,274293.2958,4684122.645,220,3
15,Point Z,274353.0544,4684079.486,150,5
16,Point Z,274340.4387,4684037.655,90,3
17,Point Z,274394.8854,4684061.559,180,3.3
