ID,x,y,Q (g/s),Error
6,274207.8841479955,4684105.731782738,12.9748,0.03732373356685201
1,274088.5372923452,4684159.605017018,20.8305,0.03732373356685201
4,274376.8222197338,4684057.668931514,16.0205,0.03732373356685201
