,x,y,ppm,windspeed,winddir,is_source,Q,Alongwind,Crosswind,peak,Predicted CH4 (ppm),Stability Class,Residual,Std. Residual
0,274095.43,4684114.68,0.0,3.5,160,False,0.0,159.43,-237.1,,0.0,B,0.0019734055306174433,-0.35058752373198776
1,274130.62,4684130.61,64.12,4.0,180,False,0.0,84.65,-242.14,407.9851890245794,0.0,B,407.9851890245794,2.6616649245146076
2,274158.51,4684097.41,0.0,4.5,200,False,0.0,-24.93,-218.93,,0.0,B,0.0010623310476742065,-0.35059425044582476
3,274221.59,4684121.32,0.0,6.0,160,False,0.0,122.52,-116.28,,0.0,D,4.712024814691196e-06,-0.35060205913836157
4,274258.77,4684148.54,0.08,5.0,180,False,0.0,102.58,-113.99,0.5185610808939665,0.0,C,0.5185610808939665,-0.3467734146454506
5,274293.3,4684122.64,0.01,3.0,220,False,0.0,7.66,-110.16,,0.01,B,0.00023983739924889752,-0.3506003231429635
6,274353.05,4684079.49,325.12,5.0,150,False,0.0,38.89,-0.31,2068.621394125865,321.37,C,23.90317210852413,-0.17411839080484628
7,274340.44,4684037.66,27.24,3.0,90,False,0.0,32.32,-8.3,,28.03,B,-5.036352110072585,-0.38778686867663414
8,274394.89,4684061.56,0.0,3.3,180,False,0.0,15.6,22.13,,0.0,B,7.005315176769774e-33,-0.3506020939285385
