,x,y,ppm,windspeed,winddir,is_source,Q,Alongwind,Crosswind,peak,Predicted CH4 (ppm),Stability Class,Residual,Std. Residual
1,274079.01,4684189.84,0.72,5.39,71.43,False,0.0,-17.1,57.4,458.1052447625019,0.72,C,0.08144462840397182,-0.38864803261635206
5,274103.95,4684111.31,0.09,5.85,69.12,False,0.0,-14.71,-25.6,57.26315559531274,0.15,C,-41.156291815706325,-0.41166890155357905
7,274179.83,4684011.02,0.09,4.81,54.61,False,0.0,-11.61,-154.17,,0.77,B,-434.1004786609024,-0.6310290654478421
8,274148.52,4684070.45,0.14,3.69,46.56,False,0.0,-8.04,-89.6,89.07601981493094,0.02,B,75.37753440555014,-0.3466141684008753
10,274266.32,4684081.06,6.1,6.74,4.4,False,0.0,34.56,-188.45,3881.169434793419,0.0,D,3881.169434793419,1.7779601680186485
